session length: 20
sessions to play for each combine_formula: 3000



seed 1512398 

linear
(26, 1043)
(27, 1120)
(28, 1080)
(29, 843)
(30, 1064)
(31, 946)
(32, 918)
(33, 1036)
(34, 909)
(35, 990)
(36, 992)
(37, 1069)
(38, 962)
(39, 962)
(40, 1011)
(41, 912)
(42, 940)
(43, 1216)
(44, 1063)
(45, 897)
(46, 957)
(47, 1025)
(48, 1034)
(49, 1070)
(50, 928)
(51, 1066)
(52, 1000)
(53, 1112)
(54, 1139)
(55, 907)
(56, 984)
(57, 1103)
(58, 935)
(59, 989)
(60, 986)
(61, 1143)
(62, 1035)
(63, 1003)
(64, 994)
(65, 1015)
(66, 1074)
(67, 1103)
(68, 993)
(69, 977)
(70, 1177)
(71, 1145)
(72, 1197)
(73, 1135)
(74, 1050)
(75, 1120)
(76, 1191)
(77, 1096)
(78, 1016)
(79, 1195)
(80, 1143)
(81, 1099)
(82, 1238)
(83, 1056)
(84, 942)
(85, 1113)
(86, 966)
(87, 1098)
(88, 1075)
(89, 1139)
(90, 1088)
(91, 1207)
(92, 1028)
(93, 1260)
(94, 1199)
(95, 1176)
(96, 1250)
(97, 1054)
(98, 1043)
(99, 1164)
103866

pythagorean
(0, 554)
(1, 476)
(2, 519)
(3, 561)
(4, 489)
(5, 559)
(6, 490)
(7, 445)
(8, 490)
(9, 562)
(10, 517)
(11, 586)
(12, 452)
(13, 491)
(14, 439)
(15, 550)
(16, 494)
(17, 621)
(18, 521)
(19, 531)
(20, 480)
(21, 433)
(22, 568)
(23, 550)
(24, 526)
(25, 622)
(26, 627)
(27, 658)
(28, 620)
(29, 547)
(30, 660)
(31, 599)
(32, 673)
(33, 645)
(34, 574)
(35, 723)
(36, 583)
(37, 578)
(38, 571)
(39, 506)
(40, 727)
(41, 500)
(42, 554)
(43, 509)
(44, 672)
(45, 679)
(46, 534)
(47, 619)
(48, 541)
(49, 655)
(50, 612)
(51, 621)
(52, 636)
(53, 734)
(54, 628)
(55, 664)
(56, 694)
(57, 647)
(58, 627)
(59, 571)
(60, 578)
(61, 601)
(62, 745)
(63, 748)
(64, 531)
(65, 666)
(66, 542)
(67, 732)
(68, 563)
(69, 733)
(70, 690)
(71, 676)
(72, 692)
(73, 591)
(74, 646)
(75, 680)
(76, 631)
(77, 757)
(78, 731)
(79, 534)
(80, 636)
(81, 539)
(82, 689)
(83, 682)
(84, 690)
(85, 659)
(86, 602)
(87, 650)
(88, 692)
(89, 606)
(90, 724)
(91, 746)
(92, 675)
(93, 642)
(94, 758)
(95, 793)
(96, 724)
(97, 662)
(98, 715)
(99, 674)
61139

GMAB
(0, -433)
(1, -380)
(2, -357)
(3, -455)
(4, -429)
(5, -519)
(6, -283)
(7, -518)
(8, -519)
(9, -516)
(10, -503)
(11, -542)
(12, -495)
(13, -481)
(14, -493)
(15, -354)
(16, -486)
(17, -444)
(18, -490)
(19, -509)
(20, -465)
(21, -449)
(22, -341)
(23, -567)
(24, -451)
(25, -479)
(26, -510)
(27, -321)
(28, -409)
(29, -462)
(30, -496)
(31, -591)
(32, -450)
(33, -487)
(34, -410)
(35, -499)
(36, -582)
(37, -450)
(38, -493)
(39, -677)
(40, -344)
(41, -399)
(42, -555)
(43, -487)
(44, -438)
(45, -673)
(46, -509)
(47, -443)
(48, -658)
(49, -506)
(50, -349)
(51, -410)
(52, -467)
(53, -495)
(54, -471)
(55, -448)
(56, -535)
(57, -510)
(58, -413)
(59, -329)
(60, -429)
(61, -483)
(62, -557)
(63, -299)
(64, -428)
(65, -441)
(66, -413)
(67, -459)
(68, -433)
